perimeter,num_drones,v_nominal,v_max,sensing_radius,nominal_spacing,balancing_policy,density_threshold,speed_threshold,adaptation_window,failure_rate,num_failures,failure_distribution,density,coverage,avg_speed,speed_stddev,max_gap,avg_gap,drones_active,formation_stability,energy_consumed,time_to_recover,recovery_slope
2000.000000,1000,1.000000,2.000000,5.000000,2.000000,0,0.850000,1.500000,10.000000,0.040000,20,0,0.980000,98.000000,2.000000,0.000000,1998.000000,1997.959184,980.000000,0.001001,1960.000000,4874.000000,0.000098
2000.000000,1000,1.000000,2.000000,5.000000,2.000000,1,0.850000,1.500000,10.000000,0.040000,20,2,0.980000,98.000000,2.000000,0.000000,1998.000000,1997.959184,980.000000,0.001001,1960.000000,4146.000000,0.000116
2000.000000,1000,1.000000,2.000000,5.000000,2.000000,2,0.850000,1.500000,10.000000,0.040000,20,2,0.980000,98.000000,2.000000,0.000000,1998.000000,1997.959184,980.000000,0.001001,1960.000000,3910.000000,0.000123
5000.000000,2000,1.000000,2.000000,5.500000,2.500000,0,0.850000,1.500000,10.000000,0.045000,25,0,0.987500,98.750000,2.000000,0.000000,4997.500000,4997.468354,1975.000000,0.000500,3950.000000,4897.000000,0.000100
5000.000000,2000,1.000000,2.000000,5.500000,2.500000,1,0.850000,1.500000,10.000000,0.045000,25,2,0.987500,98.750000,2.000000,0.000000,4997.500000,4997.468354,1975.000000,0.000500,3950.000000,3556.000000,0.000137
5000.000000,2000,1.000000,2.000000,5.500000,2.500000,2,0.850000,1.500000,10.000000,0.045000,25,2,0.987500,98.750000,2.000000,0.000000,4997.500000,4997.468354,1975.000000,0.000500,3950.000000,3386.000000,0.000144
10000.000000,3000,1.000000,2.000000,6.000000,3.330000,0,0.850000,1.500000,10.000000,0.050000,30,0,0.990000,99.000000,2.000000,0.000000,9996.670000,9996.632997,2970.000000,0.000333,5940.000000,4897.000000,0.000100
10000.000000,3000,1.000000,2.000000,6.000000,3.330000,1,0.850000,1.500000,10.000000,0.050000,30,2,0.990000,99.000000,2.000000,0.000000,9996.670000,9996.632997,2970.000000,0.000333,5940.000000,4033.000000,0.000121
10000.000000,3000,1.000000,2.000000,6.000000,3.330000,2,0.850000,1.500000,10.000000,0.050000,30,2,0.990000,99.000000,2.000000,0.000000,9996.670000,9996.632997,2970.000000,0.000333,5940.000000,3574.000000,0.000137
25000.000000,5000,1.000000,2.000000,7.000000,5.000000,0,0.850000,1.500000,10.000000,0.055000,40,0,0.992000,99.200000,2.000000,0.000000,24995.000000,24994.959677,4960.000000,0.000200,9920.000000,4881.000000,0.000101
25000.000000,5000,1.000000,2.000000,7.000000,5.000000,1,0.850000,1.500000,10.000000,0.055000,40,2,0.992000,99.200000,2.000000,0.000000,24995.000000,24994.959677,4960.000000,0.000200,9920.000000,3922.000000,0.000125
25000.000000,5000,1.000000,2.000000,7.000000,5.000000,2,0.850000,1.500000,10.000000,0.055000,40,2,0.992000,99.200000,2.000000,0.000000,24995.000000,24994.959677,4960.000000,0.000200,9920.000000,4179.000000,0.000118
50000.000000,8000,1.000000,2.000000,8.000000,6.250000,0,0.850000,1.500000,10.000000,0.060000,50,0,0.993750,99.375000,2.000000,0.000000,49993.750000,49993.710692,7950.000000,0.000125,15900.000000,4893.000000,0.000101
50000.000000,8000,1.000000,2.000000,8.000000,6.250000,1,0.850000,1.500000,10.000000,0.060000,50,2,0.993750,99.375000,2.000000,0.000000,49993.750000,49993.710692,7950.000000,0.000125,15900.000000,3844.000000,0.000128
50000.000000,8000,1.000000,2.000000,8.000000,6.250000,2,0.850000,1.500000,10.000000,0.060000,50,2,0.993750,99.375000,2.000000,0.000000,49993.750000,49993.710692,7950.000000,0.000125,15900.000000,4505.000000,0.000110
