run,summary_path,first_loss_step,pre_mean_v,pre_std_v,pre_mean_gap,pre_std_gap,post_mean_v,post_std_v,post_mean_gap,post_std_gap,end_mean_v,end_std_v,end_mean_gap,end_std_gap
baseline_loss_only,/Users/llagadec/Documents/RECHERCHE/DT4RSN/Current/Code/fresh_start/runs/baseline_loss_only/summary.csv,167,1.000000,0.000000,5.000000,0.000000,1.049216,0.152244,7.949899,1.152227,1.080161,0.180912,10.081481,1.912431
baseline_loss_delayed,/Users/llagadec/Documents/RECHERCHE/DT4RSN/Current/Code/fresh_start/runs/baseline_loss_delayed/summary.csv,167,1.028247,0.106437,5.000000,0.407414,1.020287,0.104621,5.542307,0.829890,1.019240,0.097931,5.167105,0.947754
baseline_preventive_buffer,/Users/llagadec/Documents/RECHERCHE/DT4RSN/Current/Code/fresh_start/runs/baseline_preventive_buffer/summary.csv,167,1.000000,0.045890,4.619333,0.568686,1.019362,0.096964,4.787310,0.724333,1.019779,0.097612,4.628067,0.640320
variantA_delayed,/Users/llagadec/Documents/RECHERCHE/DT4RSN/Current/Code/fresh_start/runs/variantA_delayed/summary.csv,167,1.030522,0.122410,5.000000,0.421900,1.017740,0.113030,5.542307,0.703189,1.013932,0.101999,5.167105,0.663897
variantC_delayed,/Users/llagadec/Documents/RECHERCHE/DT4RSN/Current/Code/fresh_start/runs/variantC_delayed/summary.csv,167,1.022695,0.089029,5.000000,0.393377,1.021718,0.106357,5.542307,0.905972,1.022510,0.101243,5.167105,1.169694
variantB_hold0,/Users/llagadec/Documents/RECHERCHE/DT4RSN/Current/Code/fresh_start/runs/variantB_hold0/summary.csv,167,1.028247,0.106437,5.000000,0.407414,1.020597,0.105147,5.542307,0.829535,1.019768,0.099637,5.167105,0.950479
variantB_hold50,/Users/llagadec/Documents/RECHERCHE/DT4RSN/Current/Code/fresh_start/runs/variantB_hold50/summary.csv,167,1.028247,0.106437,5.000000,0.407414,1.020287,0.104621,5.542307,0.829890,1.019240,0.097931,5.167105,0.947754
variantB_hold100,/Users/llagadec/Documents/RECHERCHE/DT4RSN/Current/Code/fresh_start/runs/variantB_hold100/summary.csv,167,1.028247,0.106437,5.000000,0.407414,1.019851,0.104324,5.542307,0.831899,1.018691,0.097576,5.167105,0.945991
variantB_hold200,/Users/llagadec/Documents/RECHERCHE/DT4RSN/Current/Code/fresh_start/runs/variantB_hold200/summary.csv,167,1.028247,0.106437,5.000000,0.407414,1.019491,0.104466,5.542307,0.837657,1.018131,0.097910,5.167105,0.953075
variantB_hold500,/Users/llagadec/Documents/RECHERCHE/DT4RSN/Current/Code/fresh_start/runs/variantB_hold500/summary.csv,167,1.028247,0.106437,5.000000,0.407414,1.017293,0.099478,5.542307,0.795324,1.007127,0.078100,5.167105,0.578939
variantB_hold1000,/Users/llagadec/Documents/RECHERCHE/DT4RSN/Current/Code/fresh_start/runs/variantB_hold1000/summary.csv,167,1.028247,0.106437,5.000000,0.407414,1.014866,0.096578,5.542307,0.917865,1.004150,0.083172,5.167105,0.736092
